id,text,timestamp,source,symbols,company_names,url,verified
1.01967E+18,RT @TheBubbleBubble: U.S. Housing Starts Unexpectedly Plunge 12.3% in June Permits Down 2.2%: https://t.co/oAxslClGOT by @MishGEA $XHB $WF…,Wed Jul 18 19:35:00 +0000 2018,DougKass,WFC,Wells Fargo & Company,https://www.themaven.net/mishtalk/economics/housing-starts-unexpectedly-plunge-12-3-in-june-permits-down-2-2-H6kZAn_vWU--Ua0Y3YFf5A/,TRUE
1.01967E+18,Analysts say @Visa should benefit from robust consumer spending. https://t.co/x0u9uzI9PA $V,Wed Jul 18 20:03:09 +0000 2018,usnews,V,Visa Inc.,https://trib.al/9TtRh1K,TRUE
1.01968E+18,Here are just a couple of the trades today from the Steamroom  in names like $AMAT $ERIC $GS $NCLH $GWW $BAC $BA… https://t.co/GFDtdV3Z9s,Wed Jul 18 20:08:29 +0000 2018,sanglucci,AMAT,Applied Materials,https://twitter.com/i/web/status/1019675294137974785,TRUE
1.01968E+18,Higher credit card spending drives American Express profit gain https://t.co/EjsW8q4j66 $AXP https://t.co/js3i6OFLSG,Wed Jul 18 20:20:25 +0000 2018,ReutersBiz,AXP,American Express Company,https://reut.rs/2utDd5R,TRUE
1.01968E+18,Bulls triple their money in $PG https://t.co/VjnGSEAxEc via @investitute,Wed Jul 18 20:23:38 +0000 2018,jonnajarian,PG,The Procter & Gamble Company,http://zpr.io/6XBPf,TRUE
1.01968E+18,"That familiar refrain: ""We're No. 1."" No -- ""WE'RE No. 1."" More than one investment bank tries to claim Wall Stre… https://t.co/oXxYnoOb0Q",Wed Jul 18 20:24:17 +0000 2018,LauraJKeller,JPM,JPMorgan Chase & Co.,https://twitter.com/i/web/status/1019679269503500288,TRUE
1.01968E+18,$KMI reports FQ2 earnings of 21c EPS and $3.43B Revs - https://t.co/mLfrlAZwA0,Wed Jul 18 20:24:45 +0000 2018,Estimize,KMI,Kinder Morgan,http://www.estimize.com/kmi/fq2-2018?utm_content=release_actuals&utm_medium=tweet&utm_source=twitter,TRUE
1.01968E+18,$KMI reports inline with the Estimize EPS Consensus and misses the Estimize Revenue Consensus by $22.99M. Reports F… https://t.co/b361kkBY2N,Wed Jul 18 20:24:46 +0000 2018,Estimize,KMI,Kinder Morgan,https://twitter.com/i/web/status/1019679390857416705,TRUE
1.01968E+18,Well done rama2050 beating 53 other analysts and the Wall Street Consensus to take the win for $KMI - https://t.co/PYU4oSZQ7s,Wed Jul 18 20:24:47 +0000 2018,Estimize,KMI,Kinder Morgan,http://www.estimize.com/kmi/fq2-2018?utm_content=release_winner&utm_medium=tweet&utm_source=twitter,TRUE
1.01968E+18,Once More Unto The Bleach: Goldman Sachs Downgrades Clorox https://t.co/o89IZmfKuJ $CLX,Wed Jul 18 20:25:00 +0000 2018,Benzinga,CLX,The Clorox Company,https://benzinga.com/z/12038248,TRUE
1.01968E+18,Bulls triple their money in $PG https://t.co/A2LXyOpcoo via @investitute,Wed Jul 18 20:26:11 +0000 2018,petenajarian,PG,The Procter & Gamble Company,http://zpr.io/6XBPf,TRUE
